12:22:30.747 [main] INFO  resources.base - Test
15:30:11.929 [main] INFO  resources.base - Navigated to http://qaclickacademy.com
15:30:12.143 [main] INFO  resources.base - Navigation Bar initialised successfully
15:31:20.046 [main] INFO  resources.base - Driver initialised
15:31:21.362 [main] INFO  resources.base - Navigated to http://qaclickacademy.com
15:31:21.587 [main] INFO  resources.base - Successfully validated Text
15:31:23.807 [main] INFO  resources.base - Driver initialised
15:31:25.059 [main] INFO  resources.base - Navigated to http://qaclickacademy.com
15:31:27.398 [main] INFO  resources.base - Clicked on logon button
15:31:27.399 [main] INFO  resources.base - Selected login Name
15:31:27.754 [main] INFO  resources.base - Following keys were sent nonrestricted@user.com
15:31:27.985 [main] INFO  resources.base - Following keys were sent 123456
15:31:31.441 [main] INFO  resources.base - Navigated to http://qaclickacademy.com
15:31:33.598 [main] INFO  resources.base - Clicked on logon button
15:31:33.598 [main] INFO  resources.base - Selected login Name
15:31:33.941 [main] INFO  resources.base - Following keys were sent Restricteduser@user.com
15:31:34.174 [main] INFO  resources.base - Following keys were sent 654321
15:31:38.437 [main] INFO  resources.base - Driver initialised
15:31:39.793 [main] INFO  resources.base - Navigated to http://qaclickacademy.com
15:31:40.039 [main] INFO  resources.base - Navigation Bar initialised successfully
